First Name,Last Name,Mailing Address,Mailing City,Mailing State,Mailing Zip,Property Address,Property City,Property State,Property Zip,Lead Type,Document Type,Date Filed,Document Number,Amount/Debt Owed,Seller Score,Motivated Seller Flags,Source,Public Records URL,Parcel Number,Appraised Value,Delinquent Taxes,Delinquent Amount,Homestead Exemption,Out-of-State Owner,Neighborhood,Violation Status,Violation Description,Violation Severity
,,,,OH,,9425 Manor Ave,Cleveland,OH,44104,Condemned Property,CONDEMN,10/17/2025,CONDEMN-128-16-090,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,128-16-090,,No,,No,No,Kinsman,Condemned,,
,,,,OH,,10606 Greenlawn Ave,Cleveland,OH,44108,Condemned Property,CONDEMN,10/16/2025,CONDEMN-109-12-037,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,109-12-037,,No,,No,No,Glenville,Condemned,,
,,,,OH,,6916 Worley Ave,Cleveland,OH,44105,Condemned Property,CONDEMN,10/16/2025,CONDEMN-132-20-061,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,132-20-061,,No,,No,No,Broadway-Slavic Village,Condemned,,
,,,,OH,,15226 Saranac Rd,Cleveland,OH,44110,Condemned Property,CONDEMN,10/16/2025,CONDEMN-116-09-065,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,116-09-065,,No,,No,No,Collinwood-Nottingham,Condemned,,
,,,,OH,,3648 W 47Th Pl,Cleveland,OH,44102,Condemned Property,CONDEMN,10/15/2025,CONDEMN-016-25-131,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,016-25-131,,No,,No,No,Stockyards,Condemned,,
,,,,OH,,11814 Forest Ave,Cleveland,OH,44120,Condemned Property,CONDEMN,10/15/2025,CONDEMN-129-22-127,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,129-22-127,,No,,No,No,Buckeye-Shaker Square,Condemned,,
,,,,OH,,12716 Iowa Ave,Cleveland,OH,44108,Condemned Property,CONDEMN,10/15/2025,CONDEMN-111-16-149,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,111-16-149,,No,,No,No,Glenville,Condemned,,
,,,,OH,,3604 E 118Th St,Cleveland,OH,44105,Condemned Property,CONDEMN,10/15/2025,CONDEMN-137-07-063,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,137-07-063,,No,,No,No,Mount Pleasant,Condemned,,
,,,,OH,,1432 E 123Rd St,Cleveland,OH,44106,Condemned Property,CONDEMN,10/15/2025,CONDEMN-120-11-080,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,120-11-080,,No,,No,No,Glenville,Condemned,,
,,,,OH,,799 E 157Th St,Cleveland,OH,44110,Condemned Property,CONDEMN,10/13/2025,CONDEMN-115-24-091,,55,Condemned property; Address found,Cleveland Code Enforcement,https://aca-prod.accela.com/COC/,115-24-091,,No,,No,No,Collinwood-Nottingham,Condemned,,
